Code Name : sn_2d
Version   : v0.1.0
Author    : Joseph F. Specht IV
Executed  : 13:51:41 on 02/05/2026

Discrete Ordinates/Octant
  n      mu     eta       w
  1  0.5774  0.5774  0.2500
  2  0.5774  0.5774  0.2500

Boundary Conditions
  Left   Right    Bottom    Top
  0   0   1   1 

Computational Cell Data
  i  j  Material   dx   dy   SigmaT   SigmaS   Source
  1  1  1  0.1000  0.2000  1.0000  0.5000  0.0000
  2  1  1  0.1000  0.2000  1.0000  0.5000  0.0000
  3  1  1  0.1000  0.2000  1.0000  0.5000  0.0000
  4  1  1  0.1000  0.2000  1.0000  0.5000  0.0000
  5  1  1  0.1000  0.2000  1.0000  0.5000  0.0000
  6  1  1  0.1000  0.2000  1.0000  0.5000  0.0000
  7  1  1  0.1000  0.2000  1.0000  0.5000  0.0000
  8  1  1  0.1000  0.2000  1.0000  0.5000  0.0000
  9  1  1  0.1000  0.2000  1.0000  0.5000  0.0000
 10  1  1  0.1000  0.2000  1.0000  0.5000  0.0000
 11  1  1  0.1000  0.2000  1.0000  0.5000  0.0000
 12  1  1  0.1000  0.2000  1.0000  0.5000  0.0000
 13  1  1  0.1000  0.2000  1.0000  0.5000  0.0000
  1  2  1  0.1000  0.2000  1.0000  0.5000  0.0000
  2  2  1  0.1000  0.2000  1.0000  0.5000  0.0000
  3  2  1  0.1000  0.2000  1.0000  0.5000  0.0000
  4  2  1  0.1000  0.2000  1.0000  0.5000  0.0000
  5  2  2  0.1000  0.2000  2.0000  0.1000  0.5000
  6  2  2  0.1000  0.2000  2.0000  0.1000  0.5000
  7  2  2  0.1000  0.2000  2.0000  0.1000  0.5000
  8  2  2  0.1000  0.2000  2.0000  0.1000  0.5000
  9  2  1  0.1000  0.2000  1.0000  0.5000  0.0000
 10  2  1  0.1000  0.2000  1.0000  0.5000  0.0000
 11  2  1  0.1000  0.2000  1.0000  0.5000  0.0000
 12  2  1  0.1000  0.2000  1.0000  0.5000  0.0000
 13  2  1  0.1000  0.2000  1.0000  0.5000  0.0000
  1  3  1  0.1000  0.2000  1.0000  0.5000  0.0000
  2  3  1  0.1000  0.2000  1.0000  0.5000  0.0000
  3  3  1  0.1000  0.2000  1.0000  0.5000  0.0000
  4  3  1  0.1000  0.2000  1.0000  0.5000  0.0000
  5  3  2  0.1000  0.2000  2.0000  0.1000  0.5000
  6  3  3  0.1000  0.2000  1.5000  0.0000  1.0000
  7  3  3  0.1000  0.2000  1.5000  0.0000  1.0000
  8  3  2  0.1000  0.2000  2.0000  0.1000  0.5000
  9  3  1  0.1000  0.2000  1.0000  0.5000  0.0000
 10  3  1  0.1000  0.2000  1.0000  0.5000  0.0000
 11  3  1  0.1000  0.2000  1.0000  0.5000  0.0000
 12  3  1  0.1000  0.2000  1.0000  0.5000  0.0000
 13  3  1  0.1000  0.2000  1.0000  0.5000  0.0000
  1  4  1  0.1000  0.2000  1.0000  0.5000  0.0000
  2  4  1  0.1000  0.2000  1.0000  0.5000  0.0000
  3  4  1  0.1000  0.2000  1.0000  0.5000  0.0000
  4  4  1  0.1000  0.2000  1.0000  0.5000  0.0000
  5  4  2  0.1000  0.2000  2.0000  0.1000  0.5000
  6  4  2  0.1000  0.2000  2.0000  0.1000  0.5000
  7  4  2  0.1000  0.2000  2.0000  0.1000  0.5000
  8  4  2  0.1000  0.2000  2.0000  0.1000  0.5000
  9  4  1  0.1000  0.2000  1.0000  0.5000  0.0000
 10  4  1  0.1000  0.2000  1.0000  0.5000  0.0000
 11  4  1  0.1000  0.2000  1.0000  0.5000  0.0000
 12  4  1  0.1000  0.2000  1.0000  0.5000  0.0000
 13  4  1  0.1000  0.2000  1.0000  0.5000  0.0000
  1  5  1  0.1000  0.2000  1.0000  0.5000  0.0000
  2  5  1  0.1000  0.2000  1.0000  0.5000  0.0000
  3  5  1  0.1000  0.2000  1.0000  0.5000  0.0000
  4  5  1  0.1000  0.2000  1.0000  0.5000  0.0000
  5  5  1  0.1000  0.2000  1.0000  0.5000  0.0000
  6  5  1  0.1000  0.2000  1.0000  0.5000  0.0000
  7  5  1  0.1000  0.2000  1.0000  0.5000  0.0000
  8  5  1  0.1000  0.2000  1.0000  0.5000  0.0000
  9  5  1  0.1000  0.2000  1.0000  0.5000  0.0000
 10  5  1  0.1000  0.2000  1.0000  0.5000  0.0000
 11  5  1  0.1000  0.2000  1.0000  0.5000  0.0000
 12  5  1  0.1000  0.2000  1.0000  0.5000  0.0000
 13  5  1  0.1000  0.2000  1.0000  0.5000  0.0000
