Code Name : sn_2d
Version   : v0.1.0
Author    : Joseph F. Specht IV
Executed  : 23:08:04 on 02/04/2026

Discrete Ordinates/Octant
  n      mu     eta       w
  1  0.5774  0.5774  0.2500

Boundary Conditions
  Left   Right    Bottom    Top
  0   0   0   0 

Computational Cell Data
  i  j  Material   dx   dy   SigmaT   SigmaS   Source
  1  1  1  0.1000  0.2000  1.0000  0.5000  0.0000
  2  1  1  0.1000  0.2000  1.0000  0.5000  0.0000
  3  1  1  0.1000  0.2000  1.0000  0.5000  0.0000
  4  1  1  0.1000  0.2000  1.0000  0.5000  0.0000
  5  1  1  0.1000  0.2000  1.0000  0.5000  0.0000
  6  1  1  0.1000  0.2000  1.0000  0.5000  0.0000
  7  1  1  0.1000  0.2000  1.0000  0.5000  0.0000
  8  1  1  0.1000  0.2000  1.0000  0.5000  0.0000
  9  1  1  0.1000  0.2000  1.0000  0.5000  0.0000
 10  1  1  0.1000  0.2000  1.0000  0.5000  0.0000
  1  2  1  0.1000  0.2000  1.0000  0.5000  0.0000
  2  2  1  0.1000  0.2000  1.0000  0.5000  0.0000
  3  2  1  0.1000  0.2000  1.0000  0.5000  0.0000
  4  2  1  0.1000  0.2000  1.0000  0.5000  0.0000
  5  2  1  0.1000  0.2000  1.0000  0.5000  0.0000
  6  2  1  0.1000  0.2000  1.0000  0.5000  0.0000
  7  2  1  0.1000  0.2000  1.0000  0.5000  0.0000
  8  2  1  0.1000  0.2000  1.0000  0.5000  0.0000
  9  2  1  0.1000  0.2000  1.0000  0.5000  0.0000
 10  2  1  0.1000  0.2000  1.0000  0.5000  0.0000
  1  3  1  0.1000  0.2000  1.0000  0.5000  0.0000
  2  3  1  0.1000  0.2000  1.0000  0.5000  0.0000
  3  3  1  0.1000  0.2000  1.0000  0.5000  0.0000
  4  3  1  0.1000  0.2000  1.0000  0.5000  0.0000
  5  3  1  0.1000  0.2000  1.0000  0.5000  0.0000
  6  3  1  0.1000  0.2000  1.0000  0.5000  0.0000
