Code Name : sn_2d
Version   : v0.1.0
Author    : Joseph F. Specht IV
Executed  : 10:39:01 on 03/25/2026

Discrete Ordinates/Octant
  n      mu     eta       w
  1  0.6000  0.4000  0.2500
  2  0.5000  0.3000  0.2500

Boundary Conditions
  Left   Right    Bottom    Top
  0   0   0   0 

Computational Cell Data
  i  j  Material   dx   dy   SigmaT   SigmaS   Source
  1  1  1  0.2000  0.1000  1.0000  0.5000  0.0000
  2  1  1  0.2000  0.1000  1.0000  0.5000  0.0000
  3  1  1  0.2000  0.1000  1.0000  0.5000  0.0000
  4  1  1  0.2000  0.1000  1.0000  0.5000  0.0000
  5  1  1  0.2000  0.1000  1.0000  0.5000  0.0000
  1  2  1  0.2000  0.1000  1.0000  0.5000  0.0000
  2  2  1  0.2000  0.1000  1.0000  0.5000  0.0000
  3  2  1  0.2000  0.1000  1.0000  0.5000  0.0000
  4  2  1  0.2000  0.1000  1.0000  0.5000  0.0000
  5  2  1  0.2000  0.1000  1.0000  0.5000  0.0000
  1  3  1  0.2000  0.1000  1.0000  0.5000  0.0000
  2  3  1  0.2000  0.1000  1.0000  0.5000  0.0000
  3  3  1  0.2000  0.1000  1.0000  0.5000  0.0000
  4  3  1  0.2000  0.1000  1.0000  0.5000  0.0000
  5  3  1  0.2000  0.1000  1.0000  0.5000  0.0000
  1  4  1  0.2000  0.1000  1.0000  0.5000  0.0000
  2  4  1  0.2000  0.1000  1.0000  0.5000  0.0000
  3  4  1  0.2000  0.1000  1.0000  0.5000  0.0000
  4  4  1  0.2000  0.1000  1.0000  0.5000  0.0000
  5  4  1  0.2000  0.1000  1.0000  0.5000  0.0000
  1  5  1  0.2000  0.1000  1.0000  0.5000  0.0000
  2  5  2  0.2000  0.1000  2.0000  0.1000  0.5000
  3  5  3  0.2000  0.1000  1.5000  0.1000  0.5000
  4  5  2  0.2000  0.1000  2.0000  0.1000  0.5000
  5  5  1  0.2000  0.1000  1.0000  0.5000  0.0000
  1  6  1  0.2000  0.1000  1.0000  0.5000  0.0000
  2  6  2  0.2000  0.1000  2.0000  0.1000  0.5000
  3  6  3  0.2000  0.1000  1.5000  0.1000  1.0000
  4  6  2  0.2000  0.1000  2.0000  0.1000  0.5000
  5  6  1  0.2000  0.1000  1.0000  0.5000  0.0000
  1  7  1  0.2000  0.1000  1.0000  0.5000  0.0000
  2  7  2  0.2000  0.1000  2.0000  0.1000  0.5000
  3  7  3  0.2000  0.1000  1.5000  0.1000  1.0000
  4  7  2  0.2000  0.1000  2.0000  0.1000  0.5000
  5  7  1  0.2000  0.1000  1.0000  0.5000  0.0000
  1  8  1  0.2000  0.1000  1.0000  0.5000  0.0000
  2  8  2  0.2000  0.1000  2.0000  0.1000  0.5000
  3  8  3  0.2000  0.1000  1.5000  0.1000  0.5000
  4  8  2  0.2000  0.1000  2.0000  0.1000  0.5000
  5  8  1  0.2000  0.1000  1.0000  0.5000  0.0000
  1  9  1  0.2000  0.1000  1.0000  0.5000  0.0000
  2  9  1  0.2000  0.1000  1.0000  0.5000  0.0000
  3  9  1  0.2000  0.1000  1.0000  0.5000  0.0000
  4  9  1  0.2000  0.1000  1.0000  0.5000  0.0000
  5  9  1  0.2000  0.1000  1.0000  0.5000  0.0000
  1 10  1  0.2000  0.1000  1.0000  0.5000  0.0000
  2 10  1  0.2000  0.1000  1.0000  0.5000  0.0000
  3 10  1  0.2000  0.1000  1.0000  0.5000  0.0000
  4 10  1  0.2000  0.1000  1.0000  0.5000  0.0000
  5 10  1  0.2000  0.1000  1.0000  0.5000  0.0000
  1 11  1  0.2000  0.1000  1.0000  0.5000  0.0000
  2 11  1  0.2000  0.1000  1.0000  0.5000  0.0000
  3 11  1  0.2000  0.1000  1.0000  0.5000  0.0000
  4 11  1  0.2000  0.1000  1.0000  0.5000  0.0000
  5 11  1  0.2000  0.1000  1.0000  0.5000  0.0000
  1 12  1  0.2000  0.1000  1.0000  0.5000  0.0000
  2 12  1  0.2000  0.1000  1.0000  0.5000  0.0000
  3 12  1  0.2000  0.1000  1.0000  0.5000  0.0000
  4 12  1  0.2000  0.1000  1.0000  0.5000  0.0000
  5 12  1  0.2000  0.1000  1.0000  0.5000  0.0000
  1 13  1  0.2000  0.1000  1.0000  0.5000  0.0000
  2 13  1  0.2000  0.1000  1.0000  0.5000  0.0000
  3 13  1  0.2000  0.1000  1.0000  0.5000  0.0000
  4 13  1  0.2000  0.1000  1.0000  0.5000  0.0000
  5 13  1  0.2000  0.1000  1.0000  0.5000  0.0000


Discrete Ordinates Method Solution
   i   j   Cell-Averaged Scalar Flux
   1   1   1.466333E-02
   2   1   1.544702E-03
   3   1   2.069188E-04
   4   1   1.544702E-03
   5   1   1.466333E-02
   1   2   4.350881E-02
   2   2   1.566947E-02
   3   2   2.155632E-03
   4   2   1.566947E-02
   5   2   4.350881E-02
   1   3   8.467958E-02
   2   3   5.164796E-02
   3   3   3.299267E-02
   4   3   5.164796E-02
   5   3   8.467958E-02
   1   4   1.216446E-01
   2   4   1.232705E-01
   3   4   1.191774E-01
   4   4   1.232705E-01
   5   4   1.216446E-01
   1   5   1.247546E-01
   2   5   2.327419E-01
   3   5   2.758291E-01
   4   5   2.327419E-01
   5   5   1.247546E-01
   1   6   1.072024E-01
   2   6   3.045827E-01
   3   6   4.387441E-01
   4   6   3.045827E-01
   5   6   1.072024E-01
   1   7   1.072024E-01
   2   7   3.045827E-01
   3   7   4.387441E-01
   4   7   3.045827E-01
   5   7   1.072024E-01
   1   8   1.247546E-01
   2   8   2.327419E-01
   3   8   2.758290E-01
   4   8   2.327419E-01
   5   8   1.247546E-01
   1   9   1.216446E-01
   2   9   1.232705E-01
   3   9   1.191774E-01
   4   9   1.232705E-01
   5   9   1.216446E-01
   1  10   8.467958E-02
   2  10   5.164796E-02
   3  10   3.299267E-02
   4  10   5.164796E-02
   5  10   8.467958E-02
   1  11   4.350881E-02
   2  11   1.566947E-02
   3  11   2.155632E-03
   4  11   1.566947E-02
   5  11   4.350881E-02
   1  12   1.466333E-02
   2  12   1.544702E-03
   3  12   2.069188E-04
   4  12   1.544702E-03
   5  12   1.466333E-02
   1  13   1.931567E-03
   2  13   1.908441E-04
   3  13   1.800859E-05
   4  13   1.908441E-04
   5  13   1.931567E-03

Runtime   :     0.0015 [s]
